0			1			1			1
0.1			0.895338			0.895785			0.904837
0.2			0.809728			0.810536			0.818731
0.3			0.72498			0.726169			0.740818
0.4			0.662282			0.663601			0.67032
0.5			0.598956			0.600444			0.606531
0.6			0.536268			0.537983			0.548812
0.7			0.48989			0.491587			0.496585
0.8			0.443048			0.444797			0.449329
0.9			0.400685			0.402458			0.40657
1			0.362372			0.364147			0.367879
1.1			0.327723			0.329481			0.332871
1.2			0.293423			0.295313			0.301194
1.3			0.268047			0.269727			0.272532
1.4			0.242417			0.244041			0.246597
1.5			0.219237			0.220797			0.22313
1.6			0.198274			0.199763			0.201897
1.7			0.177523			0.179206			0.182684
1.8			0.16217			0.163502			0.165299
1.9			0.146664			0.147913			0.149569
2			0.13264			0.133803			0.135335
2.1			0.119957			0.121033			0.122456
2.2			0.108487			0.109474			0.110803
2.3			0.0981138			0.0990108			0.100259
2.4			0.087845			0.0892041			0.090718
2.5			0.0802479			0.080962			0.082085
2.6			0.0725748			0.073196			0.0742736
2.7			0.0656353			0.0661625			0.0672055
2.8			0.0593594			0.0597911			0.0608101
2.9			0.0531468			0.0543984			0.0550232
3			0.0485505			0.0487858			0.0497871
3.1			0.0439082			0.0440417			0.0450492
3.2			0.0397098			0.0397384			0.0407622
3.3			0.0359128			0.0358327			0.0368832
3.4			0.0321541			0.0334776			0.0333733
3.5			0.0293733			0.0290618			0.0301974
3.6			0.0265647			0.0261288			0.0273237
3.7			0.0240247			0.0234572			0.0247235
3.8			0.0217275			0.0210204			0.0223708
3.9			0.0194534			0.0211017			0.0202419
4			0.017771			0.0167557			0.0183156
4.1			0.0159111			0.017784			0.0165727
4.2			0.0145351			0.0131634			0.0149956
4.3			0.0131453			0.0115734			0.0135686
4.4			0.0118883			0.0100993			0.0122773
4.5			0.0107516			0.00872631			0.011109
4.6			0.00972355			0.00744061			0.0100518
4.7			0.0087938			0.00622938			0.00909528
4.8			0.00787343			0.0111659			0.00822975
4.9			0.00719251			0.00398245			0.00744658
5			0.00650478			0.00292427			0.00673795
5.1			0.0058828			0.00189535			0.00609675
5.2			0.0053203			0.000885401			0.00551656
5.3			0.00476347			0.0100018			0.00499159
5.4			0.00435151			-0.00111793			0.00451658
5.5			0.00393543			-0.00213137			0.00408677
5.6			0.00355913			-0.00316614			0.00369786
5.7			0.00321882			-0.00423259			0.00334597
5.8			0.00288193			0.0113907			0.00302755
5.9			0.00263269			-0.00650367			0.00273944
6			0.00238096			-0.00773103			0.00247875
6.1			0.0021533			-0.00903576			0.00224287
6.2			0.0019474			-0.0104309			0.00202943
6.3			0.00174358			0.0156869			0.0018363
6.4			0.00159279			-0.0135494			0.00166156
6.5			0.00144049			-0.015304			0.00150344
6.6			0.00130276			-0.0172117			0.00136037
6.7			0.00117819			-0.0192917			0.00123091
6.8			0.00105488			0.0239871			0.00111378
6.9			0.00096365			-0.0240536			0.00100779
7			0.000871508			-0.0267832			0.000911882
7.1			0.000788176			-0.0297808			0.000825105
7.2			0.000712812			-0.0330765			0.000746586
7.3			0.000638208			0.0384099			0.000675539
7.4			0.000583014			-0.0406972			0.000611253
7.5			0.000527268			-0.0450986			0.000553084
7.6			0.000476851			-0.0499512			0.000500451
7.7			0.000431256			-0.0553038			0.000452827
7.8			0.00038612			0.0626365			0.000409735
7.9			0.000352727			-0.0677286			0.000370744
8			0.000319			-0.0749251			0.000335463
8.1			0.000288498			-0.0828714			0.000303539
8.2			0.000258303			0.0931121			0.000274654
8.3			0.000235965			-0.10134			0.000248517
8.4			0.000213402			-0.112047			0.000224867
8.5			0.000192997			-0.123876			0.000203468
8.6			0.000174543			-0.136944			0.000184106
8.7			0.000157854			-0.151383			0.000166586
8.8			0.00014276			-0.167337			0.000150733
8.9			0.00012911			-0.184965			0.000136389
9			0.000116764			-0.204445			0.00012341
9.1			0.0001056			-0.225971			0.000111666
9.2			9.55024e-05			-0.249758			0.000101039
9.3			8.63706e-05			-0.276045			9.14242e-05
9.4			7.81121e-05			-0.305094			8.27241e-05
9.5			7.06432e-05			-0.337197			7.48518e-05
9.6			6.32495e-05			0.376554			6.77287e-05
9.7			5.77795e-05			-0.411882			6.12835e-05
9.8			5.22548e-05			-0.455211			5.54516e-05
9.9			4.72583e-05			-0.503096			5.01747e-05
