#Gradientenverfahren 
 -1	1	2
-0.995005	1	1.995
-0.994881	0.989548	1.99491
-0.989747	0.989608	1.98977
-0.989658	0.97925	1.98977
-0.984502	0.979294	1.98461
-0.984446	0.969024	1.98469
-0.979264	0.969052	1.97951
-0.97924	0.958863	1.97967
-0.974033	0.958876	1.97446
-0.974038	0.948762	1.9747
-0.968803	0.948759	1.96947
-0.968838	0.938716	1.96979
-0.963574	0.938697	1.96453
-0.963637	0.928718	1.96493
-0.958342	0.928685	1.95964
-0.958431	0.918765	1.96012
-0.953104	0.918717	1.95479
-0.95322	0.908852	1.95535
-0.947858	0.908789	1.94999
-0.947999	0.898974	1.95062
-0.942602	0.898897	1.94523
-0.942768	0.889129	1.94593
-0.937334	0.889037	1.94051
-0.937522	0.87931	1.94128
-0.93205	0.879204	1.93582
-0.932261	0.869516	1.93666
-0.926749	0.869395	1.93117
-0.926982	0.859741	1.93208
-0.921427	0.859607	1.92655
-0.921682	0.849984	1.92753
-0.916084	0.849835	1.92196
-0.91636	0.840239	1.92301
-0.910717	0.840077	1.9174
-0.911013	0.830505	1.91852
-0.905323	0.830329	1.91286
-0.905639	0.820777	1.91405
-0.8999	0.820587	1.90835
-0.900236	0.811053	1.90961
-0.894446	0.810849	1.90387
-0.894801	0.80133	1.90519
-0.888959	0.801112	1.8994
-0.889332	0.791604	1.90079
-0.883436	0.791373	1.89496
-0.883827	0.781873	1.89641
-0.877874	0.781628	1.89053
-0.878284	0.772134	1.89205
-0.872272	0.771875	1.88612
-0.872699	0.762384	1.88771
-0.866627	0.762111	1.88173
-0.867071	0.75262	1.88339
-0.860937	0.752334	1.87735
-0.861398	0.74284	1.87908
-0.855198	0.742539	1.87298
-0.855676	0.73304	1.87478
-0.849409	0.732725	1.86862
-0.849903	0.723218	1.87049
-0.843566	0.722889	1.86428
-0.844076	0.713371	1.86622
-0.837666	0.713027	1.85994
-0.838193	0.703496	1.86195
-0.831707	0.703138	1.85561
-0.83225	0.69359	1.85769
-0.825686	0.693217	1.85128
-0.826244	0.683651	1.85344
-0.819599	0.683263	1.84696
-0.820173	0.673675	1.84919
-0.813443	0.673272	1.84264
