#DFT 
           (44.4692,0)
   (-2.85108,-7.02149)
   (-2.01863,-3.57652)
   (-1.80909,-2.26138)
   (-1.72579,-1.52489)
   (-1.68555,-1.02385)
  (-1.66461,-0.636399)
  (-1.65427,-0.306027)
(-1.65114,2.82406e-15)
   (-1.65427,0.306027)
   (-1.66461,0.636399)
    (-1.68555,1.02385)
    (-1.72579,1.52489)
    (-1.80909,2.26138)
    (-2.01863,3.57652)
    (-2.85108,7.02149)
