# v_dot = -r --> v kuttan --> r kuttan 
7.02169	12.48
7.01197	12.52
7.00131	12.56
6.98978	12.6
6.97746	12.64
6.96443	12.68
6.95076	12.72
6.93654	12.76
6.92187	12.8
6.90684	12.84
6.89155	12.88
6.87608	12.92
6.86056	12.96
6.84506	13
6.82969	13.04
6.81455	13.08
6.79974	13.12
6.78535	13.16
6.77147	13.2
6.7582	13.24
6.74561	13.28
6.73379	13.32
6.72281	13.36
6.71274	13.4
6.70365	13.44
6.6956	13.48
6.68863	13.52
6.6828	13.56
6.67813	13.6
6.67467	13.64
6.67242	13.68
6.67141	13.72
6.67164	13.76
6.67311	13.8
6.67582	13.84
6.67974	13.88
6.68484	13.92
6.6911	13.96
6.69848	14
6.70693	14.04
6.71639	14.08
6.7268	14.12
6.7381	14.16
6.75022	14.2
6.76308	14.24
6.77659	14.28
6.79067	14.32
6.80523	14.36
6.82017	14.4
6.8354	14.44
6.85083	14.48
6.86635	14.52
6.88187	14.56
6.89728	14.6
6.91249	14.64
6.92739	14.68
6.9419	14.72
6.95593	14.76
6.96937	14.8
6.98215	14.84
6.99418	14.88
7.00539	14.92
7.01571	14.96
7.02506	15
7.03339	15.04
7.04065	15.08
7.04679	15.12
7.05177	15.16
7.05555	15.2
7.05812	15.24
7.05946	15.28
7.05956	15.32
7.05841	15.36
7.05604	15.4
7.05244	15.44
7.04764	15.48
7.04168	15.52
7.0346	15.56
7.02643	15.6
7.01723	15.64
7.00706	15.68
6.99599	15.72
6.98408	15.76
6.97141	15.8
6.95807	15.84
6.94413	15.88
6.92969	15.92
6.91484	15.96
6.89967	16
6.88428	16.04
6.86878	16.08
6.85325	16.12
6.8378	16.16
6.82253	16.2
6.80754	16.24
6.79291	16.28
6.77875	16.32
6.76515	16.36
6.75218	16.4
6.73994	16.44
6.72851	16.48
6.71795	16.52
6.70834	16.56
6.69973	16.6
6.69218	16.64
6.68574	16.68
6.68045	16.72
6.67635	16.76
6.67346	16.8
6.67179	16.84
6.67136	16.88
6.67218	16.92
6.67423	16.96
6.67751	17
6.68199	17.04
6.68765	17.08
6.69444	17.12
6.70233	17.16
6.71126	17.2
6.72117	17.24
6.73202	17.28
6.74371	17.32
6.75619	17.36
6.76936	17.4
6.78315	17.44
6.79747	17.48
6.81222	17.52
6.82731	17.56
6.84265	17.6
6.85813	17.64
6.87366	17.68
6.88914	17.72
6.90447	17.76
6.91955	17.8
6.93428	17.84
6.94857	17.88
6.96233	17.92
6.97547	17.96
6.98791	18
6.99957	18.04
7.01036	18.08
7.02023	18.12
7.02911	18.16
7.03695	18.2
7.04368	18.24
7.04928	18.28
7.0537	18.32
7.05692	18.36
7.05891	18.4
7.05966	18.44
7.05917	18.48
7.05745	18.52
7.05449	18.56
7.05033	18.6
7.04498	18.64
7.03849	18.68
7.03089	18.72
7.02223	18.76
7.01256	18.8
7.00196	18.84
6.99048	18.88
6.97821	18.92
6.96521	18.96
6.95157	19
6.93739	19.04
6.92274	19.08
6.90773	19.12
6.89245	19.16
6.87699	19.2
6.86147	19.24
6.84596	19.28
6.83059	19.32
6.81543	19.36
6.8006	19.4
6.78618	19.44
6.77227	19.48
6.75896	19.52
6.74633	19.56
6.73446	19.6
6.72343	19.64
6.71331	19.68
6.70416	19.72
6.69604	19.76
6.68901	19.8
6.68311	19.84
6.67837	19.88
6.67484	19.92
6.67252	19.96
6.67144	20
