# Starttemperatur Messung100
#Endtemperatur gemittelt über 10000 Zeitschritte: 2.41721e+45

#Radius 	 Paarkorrelation 
0	1367.74
0.08	0
0.16	0
0.24	0
0.32	0
0.4	0
0.48	0.95646
0.56	0
0.64	0
0.72	0
0.8	0
0.88	0
0.96	7.46039
1.04	0
1.12	0
1.2	0
1.28	0
1.36	0
1.44	0
1.52	0
1.6	0
1.68	0
1.76	0
1.84	0
1.92	0
2	4.14466
2.08	0
2.16	0
2.24	0
2.32	0
2.4	0
2.48	0
2.56	0
2.64	0
2.72	0
2.8	0
2.88	0
2.96	2.4868
3.04	0
3.12	0
3.2	0
3.28	0
3.36	0
3.44	1.42919
3.52	0
3.6	0.136637
3.68	0
3.76	0
3.84	0
3.92	0
